date,sales_usd,product_description,client_name,sales_agent_name
43621,1328857.884,Producto G,Quesillos S.C.,Guillermo Ochoa
43622,34523.74764,Producto E,Quesillos S.C.,Guillermo Ochoa
43622,849177.6091,Producto G,Quesillos S.C.,Guillermo Ochoa
43623,35700.2718,Producto E,Quesillos S.C.,Guillermo Ochoa
43623,493636.2301,Producto G,Quesillos S.C.,Guillermo Ochoa
43624,784555.9194,Producto G,Quesillos S.C.,Guillermo Ochoa
43626,65027.787,Producto E,Quesillos S.C.,Guillermo Ochoa
43626,363630.9898,Producto G,Quesillos S.C.,Guillermo Ochoa
43627,20223.67339,Producto E,Quesillos S.C.,Guillermo Ochoa
43627,559109.9909,Producto G,Quesillos S.C.,Guillermo Ochoa
43628,68036.73619,Producto E,Quesillos S.C.,Guillermo Ochoa
43628,756151.6297,Producto G,Quesillos S.C.,Guillermo Ochoa
43629,16294.19879,Producto E,Quesillos S.C.,Guillermo Ochoa
43629,691337.7001,Producto G,Quesillos S.C.,Guillermo Ochoa
43630,36239.58677,Producto E,Quesillos S.C.,Guillermo Ochoa
43630,888937.127,Producto G,Quesillos S.C.,Guillermo Ochoa
43631,414158.7361,Producto G,Quesillos S.C.,Guillermo Ochoa
43633,13318.30654,Producto E,Quesillos S.C.,Guillermo Ochoa
43633,404351.0998,Producto G,Quesillos S.C.,Guillermo Ochoa
43634,22256.95072,Producto E,Quesillos S.C.,Guillermo Ochoa
43634,575572.7744,Producto G,Quesillos S.C.,Guillermo Ochoa
43635,15943.03792,Producto E,Quesillos S.C.,Guillermo Ochoa
43635,944461.9315,Producto G,Quesillos S.C.,Guillermo Ochoa
43636,-55.24556593,Producto E,Quesillos S.C.,Guillermo Ochoa
43636,791957.2744,Producto G,Quesillos S.C.,Guillermo Ochoa
43637,54819.43824,Producto E,Quesillos S.C.,Guillermo Ochoa
43637,344200.0111,Producto G,Quesillos S.C.,Guillermo Ochoa
43638,888345.6222,Producto G,Quesillos S.C.,Guillermo Ochoa
43640,19918.42757,Producto E,Quesillos S.C.,Guillermo Ochoa
43640,825075.9753,Producto G,Quesillos S.C.,Guillermo Ochoa
43641,49297.84492,Producto E,Quesillos S.C.,Guillermo Ochoa
43641,685096.1645,Producto G,Quesillos S.C.,Guillermo Ochoa
43642,38420.43906,Producto E,Quesillos S.C.,Guillermo Ochoa
43642,733622.2505,Producto G,Quesillos S.C.,Guillermo Ochoa
43643,25245.13854,Producto E,Quesillos S.C.,Guillermo Ochoa
43643,641527.2231,Producto G,Quesillos S.C.,Guillermo Ochoa
43644,33260.7162,Producto E,Quesillos S.C.,Guillermo Ochoa
43644,514590.4892,Producto G,Quesillos S.C.,Guillermo Ochoa
43645,486681.4052,Producto G,Quesillos S.C.,Guillermo Ochoa
43647,13977.6478,Producto E,Quesillos S.C.,Guillermo Ochoa
43647,175446.178,Producto G,Quesillos S.C.,Guillermo Ochoa
43648,447226.1057,Producto G,Quesillos S.C.,Guillermo Ochoa
43649,46365.92708,Producto E,Quesillos S.C.,Guillermo Ochoa
43649,517592.1848,Producto G,Quesillos S.C.,Guillermo Ochoa
43650,27768.42218,Producto E,Quesillos S.C.,Guillermo Ochoa
43650,419702.5674,Producto G,Quesillos S.C.,Guillermo Ochoa
43651,10796.04672,Producto E,Quesillos S.C.,Guillermo Ochoa
43651,640238.6512,Producto G,Quesillos S.C.,Guillermo Ochoa
43652,428863.8439,Producto G,Quesillos S.C.,Guillermo Ochoa
43654,734171.6494,Producto G,Quesillos S.C.,Guillermo Ochoa
43655,30660.65503,Producto E,Quesillos S.C.,Guillermo Ochoa
43655,580267.4625,Producto G,Quesillos S.C.,Guillermo Ochoa
43656,12839.30372,Producto E,Quesillos S.C.,Guillermo Ochoa
43656,472414.8972,Producto G,Quesillos S.C.,Guillermo Ochoa
43657,24905.35298,Producto E,Quesillos S.C.,Guillermo Ochoa
43657,531258.9807,Producto G,Quesillos S.C.,Guillermo Ochoa
43658,29482.23761,Producto E,Quesillos S.C.,Guillermo Ochoa
43658,522869.2105,Producto G,Quesillos S.C.,Guillermo Ochoa
43659,307416.0124,Producto G,Quesillos S.C.,Guillermo Ochoa
43661,7645.448866,Producto E,Quesillos S.C.,Guillermo Ochoa
43661,608219.4222,Producto G,Quesillos S.C.,Guillermo Ochoa
43662,21544.06313,Producto E,Quesillos S.C.,Guillermo Ochoa
43662,181918.9858,Producto G,Quesillos S.C.,Guillermo Ochoa
43663,37848.70662,Producto E,Quesillos S.C.,Guillermo Ochoa
43663,401892.3003,Producto G,Quesillos S.C.,Guillermo Ochoa
43664,36095.31478,Producto E,Quesillos S.C.,Guillermo Ochoa
43664,427122.9941,Producto G,Quesillos S.C.,Guillermo Ochoa
43665,58004.83471,Producto E,Quesillos S.C.,Guillermo Ochoa
43665,645071.0022,Producto G,Quesillos S.C.,Guillermo Ochoa
43666,661287.4775,Producto G,Quesillos S.C.,Guillermo Ochoa
43668,25474.61278,Producto E,Quesillos S.C.,Guillermo Ochoa
43668,797090.1997,Producto G,Quesillos S.C.,Guillermo Ochoa
43669,21220.04956,Producto E,Quesillos S.C.,Guillermo Ochoa
43669,823637.6106,Producto G,Quesillos S.C.,Guillermo Ochoa
43670,25859.88568,Producto E,Quesillos S.C.,Guillermo Ochoa
43670,456159.3848,Producto G,Quesillos S.C.,Guillermo Ochoa
43671,22397.4974,Producto E,Quesillos S.C.,Guillermo Ochoa
43671,436280.7924,Producto G,Quesillos S.C.,Guillermo Ochoa
43672,36832.94922,Producto E,Quesillos S.C.,Guillermo Ochoa
43672,804961.9648,Producto G,Quesillos S.C.,Guillermo Ochoa
43673,431896.6151,Producto G,Quesillos S.C.,Guillermo Ochoa
43675,3401.035613,Producto E,Quesillos S.C.,Guillermo Ochoa
43675,152411.3867,Producto G,Quesillos S.C.,Guillermo Ochoa
43676,7324.794502,Producto E,Quesillos S.C.,Guillermo Ochoa
43676,548983.3778,Producto G,Quesillos S.C.,Guillermo Ochoa
43677,582.5672519,Producto F,Quesillos S.C.,Guillermo Ochoa
43677,44248.88598,Producto E,Quesillos S.C.,Guillermo Ochoa
43677,425075.5355,Producto G,Quesillos S.C.,Guillermo Ochoa
43678,10740.74372,Producto E,Quesillos S.C.,Guillermo Ochoa
43678,410086.5479,Producto G,Quesillos S.C.,Guillermo Ochoa
43679,25078.55909,Producto E,Quesillos S.C.,Guillermo Ochoa
43679,380803.0805,Producto G,Quesillos S.C.,Guillermo Ochoa
43680,514809.6642,Producto G,Quesillos S.C.,Guillermo Ochoa
43682,30213.7446,Producto E,Quesillos S.C.,Guillermo Ochoa
43682,289154.2656,Producto G,Quesillos S.C.,Guillermo Ochoa
43683,47500.75754,Producto E,Quesillos S.C.,Guillermo Ochoa
43683,723113.0553,Producto G,Quesillos S.C.,Guillermo Ochoa
43684,16265.08506,Producto E,Quesillos S.C.,Guillermo Ochoa
43684,717732.9697,Producto G,Quesillos S.C.,Guillermo Ochoa
43685,32364.03954,Producto E,Quesillos S.C.,Guillermo Ochoa
43685,554313.0222,Producto G,Quesillos S.C.,Guillermo Ochoa
43686,23943.34756,Producto E,Quesillos S.C.,Guillermo Ochoa
43686,1002853.245,Producto G,Quesillos S.C.,Guillermo Ochoa
43687,865433.4834,Producto G,Quesillos S.C.,Guillermo Ochoa
43689,26074.5919,Producto E,Quesillos S.C.,Guillermo Ochoa
43689,760584.1555,Producto G,Quesillos S.C.,Guillermo Ochoa
43690,35136.44523,Producto E,Quesillos S.C.,Guillermo Ochoa
43690,580002.1297,Producto G,Quesillos S.C.,Guillermo Ochoa
43691,37867.84158,Producto E,Quesillos S.C.,Guillermo Ochoa
43691,670946.2213,Producto G,Quesillos S.C.,Guillermo Ochoa
43692,10524.04381,Producto E,Quesillos S.C.,Guillermo Ochoa
43692,576046.8865,Producto G,Quesillos S.C.,Guillermo Ochoa
43693,34800.74425,Producto E,Quesillos S.C.,Guillermo Ochoa
43693,247089.6743,Producto G,Quesillos S.C.,Guillermo Ochoa
43694,758762.6975,Producto G,Quesillos S.C.,Guillermo Ochoa
43696,34705.0432,Producto E,Quesillos S.C.,Guillermo Ochoa
43696,357243.7519,Producto G,Quesillos S.C.,Guillermo Ochoa
43697,27526.04215,Producto E,Quesillos S.C.,Guillermo Ochoa
43697,556045.4911,Producto G,Quesillos S.C.,Guillermo Ochoa
43698,11093.23762,Producto E,Quesillos S.C.,Guillermo Ochoa
43698,905049.4933,Producto G,Quesillos S.C.,Guillermo Ochoa
43699,24795.24038,Producto E,Quesillos S.C.,Guillermo Ochoa
43699,1101926.871,Producto G,Quesillos S.C.,Guillermo Ochoa
43700,48583.36663,Producto E,Quesillos S.C.,Guillermo Ochoa
43700,847794.4788,Producto G,Quesillos S.C.,Guillermo Ochoa
43701,386372.3755,Producto G,Quesillos S.C.,Guillermo Ochoa
43703,14854.21042,Producto E,Quesillos S.C.,Guillermo Ochoa
43703,390212.4751,Producto G,Quesillos S.C.,Guillermo Ochoa
43704,27615.953,Producto E,Quesillos S.C.,Guillermo Ochoa
43704,1028933.541,Producto G,Quesillos S.C.,Guillermo Ochoa
43705,22571.8465,Producto E,Quesillos S.C.,Guillermo Ochoa
43705,973826.2543,Producto G,Quesillos S.C.,Guillermo Ochoa
43706,590215.8995,Producto G,Quesillos S.C.,Guillermo Ochoa
43707,29761.09321,Producto E,Quesillos S.C.,Guillermo Ochoa
43707,1579035.966,Producto G,Quesillos S.C.,Guillermo Ochoa
43708,837505.1457,Producto G,Quesillos S.C.,Guillermo Ochoa
43710,654790.6067,Producto G,Quesillos S.C.,Guillermo Ochoa
43711,37858.82406,Producto E,Quesillos S.C.,Guillermo Ochoa
43711,558706.8993,Producto G,Quesillos S.C.,Guillermo Ochoa
43712,16147.48532,Producto E,Quesillos S.C.,Guillermo Ochoa
43712,511963.2653,Producto G,Quesillos S.C.,Guillermo Ochoa
43713,7312.503602,Producto E,Quesillos S.C.,Guillermo Ochoa
43713,1552153.015,Producto G,Quesillos S.C.,Guillermo Ochoa
43714,55744.78554,Producto E,Quesillos S.C.,Guillermo Ochoa
43714,758229.1812,Producto G,Quesillos S.C.,Guillermo Ochoa
43715,779272.457,Producto G,Quesillos S.C.,Guillermo Ochoa
43717,35978.6833,Producto E,Quesillos S.C.,Guillermo Ochoa
43717,638830.5624,Producto G,Quesillos S.C.,Guillermo Ochoa
43718,21998.52144,Producto E,Quesillos S.C.,Guillermo Ochoa
43718,1327303.74,Producto G,Quesillos S.C.,Guillermo Ochoa
43719,17995.73863,Producto E,Quesillos S.C.,Guillermo Ochoa
43719,664875.6365,Producto G,Quesillos S.C.,Guillermo Ochoa
43720,38053.9137,Producto E,Quesillos S.C.,Guillermo Ochoa
43720,783491.6457,Producto G,Quesillos S.C.,Guillermo Ochoa
43721,40235.75046,Producto E,Quesillos S.C.,Guillermo Ochoa
43721,912497.0294,Producto G,Quesillos S.C.,Guillermo Ochoa
43722,1036317.025,Producto G,Quesillos S.C.,Guillermo Ochoa
43725,44162.47205,Producto E,Quesillos S.C.,Guillermo Ochoa
43725,616098.7665,Producto G,Quesillos S.C.,Guillermo Ochoa
43726,17196.10333,Producto E,Quesillos S.C.,Guillermo Ochoa
43726,1132478.829,Producto G,Quesillos S.C.,Guillermo Ochoa
43727,43800.1362,Producto E,Quesillos S.C.,Guillermo Ochoa
43727,1494386.739,Producto G,Quesillos S.C.,Guillermo Ochoa
43728,40479.78559,Producto E,Quesillos S.C.,Guillermo Ochoa
43728,715875.4966,Producto G,Quesillos S.C.,Guillermo Ochoa
43729,1004687.344,Producto G,Quesillos S.C.,Guillermo Ochoa
43731,24961.36316,Producto E,Quesillos S.C.,Guillermo Ochoa
43731,507915.161,Producto G,Quesillos S.C.,Guillermo Ochoa
43732,43784.8479,Producto E,Quesillos S.C.,Guillermo Ochoa
43732,1177780.217,Producto G,Quesillos S.C.,Guillermo Ochoa
43733,20747.81792,Producto E,Quesillos S.C.,Guillermo Ochoa
43733,765652.4201,Producto G,Quesillos S.C.,Guillermo Ochoa
43734,29867.63135,Producto E,Quesillos S.C.,Guillermo Ochoa
43734,1008279.271,Producto G,Quesillos S.C.,Guillermo Ochoa
43735,35420.65234,Producto E,Quesillos S.C.,Guillermo Ochoa
43735,1225064.4,Producto G,Quesillos S.C.,Guillermo Ochoa
43736,995301.4392,Producto G,Quesillos S.C.,Guillermo Ochoa
43738,34051.80088,Producto E,Quesillos S.C.,Guillermo Ochoa
43738,469054.8275,Producto G,Quesillos S.C.,Guillermo Ochoa
43739,29895.83402,Producto E,Quesillos S.C.,Guillermo Ochoa
43739,1005560.197,Producto G,Quesillos S.C.,Guillermo Ochoa
43740,21532.14176,Producto E,Quesillos S.C.,Guillermo Ochoa
43740,1072262.52,Producto G,Quesillos S.C.,Guillermo Ochoa
43741,26296.24769,Producto E,Quesillos S.C.,Guillermo Ochoa
43741,938638.999,Producto G,Quesillos S.C.,Guillermo Ochoa
43742,34141.28656,Producto E,Quesillos S.C.,Guillermo Ochoa
43742,1428007.351,Producto G,Quesillos S.C.,Guillermo Ochoa
43743,457950.6465,Producto G,Quesillos S.C.,Guillermo Ochoa
43745,51995.70492,Producto E,Quesillos S.C.,Guillermo Ochoa
43745,659627.1309,Producto G,Quesillos S.C.,Guillermo Ochoa
43746,17596.76419,Producto E,Quesillos S.C.,Guillermo Ochoa
43746,921415.5565,Producto G,Quesillos S.C.,Guillermo Ochoa
43747,22976.33537,Producto E,Quesillos S.C.,Guillermo Ochoa
43747,855008.2036,Producto G,Quesillos S.C.,Guillermo Ochoa
43748,41613.93423,Producto E,Quesillos S.C.,Guillermo Ochoa
43748,1092265.851,Producto G,Quesillos S.C.,Guillermo Ochoa
43749,40443.5573,Producto E,Quesillos S.C.,Guillermo Ochoa
43749,997607.6898,Producto G,Quesillos S.C.,Guillermo Ochoa
43750,622920.0371,Producto G,Quesillos S.C.,Guillermo Ochoa
43752,-5624.689852,Producto E,Quesillos S.C.,Guillermo Ochoa
43752,847369.6135,Producto G,Quesillos S.C.,Guillermo Ochoa
43753,51307.81815,Producto E,Quesillos S.C.,Guillermo Ochoa
43753,791886.1685,Producto G,Quesillos S.C.,Guillermo Ochoa
43754,57648.56935,Producto E,Quesillos S.C.,Guillermo Ochoa
43754,992727.221,Producto G,Quesillos S.C.,Guillermo Ochoa
43755,30728.16909,Producto E,Quesillos S.C.,Guillermo Ochoa
43755,893868.5344,Producto G,Quesillos S.C.,Guillermo Ochoa
43756,19335.29603,Producto E,Quesillos S.C.,Guillermo Ochoa
43756,1077514.394,Producto G,Quesillos S.C.,Guillermo Ochoa
43757,982680.2719,Producto G,Quesillos S.C.,Guillermo Ochoa
43759,53751.89542,Producto E,Quesillos S.C.,Guillermo Ochoa
43759,1294176.774,Producto G,Quesillos S.C.,Guillermo Ochoa
43760,61796.72067,Producto E,Quesillos S.C.,Guillermo Ochoa
43760,1965471.891,Producto G,Quesillos S.C.,Guillermo Ochoa
43761,8224.804118,Producto E,Quesillos S.C.,Guillermo Ochoa
43761,1342160.513,Producto G,Quesillos S.C.,Guillermo Ochoa
43762,39125.51081,Producto E,Quesillos S.C.,Guillermo Ochoa
43762,580523.5478,Producto G,Quesillos S.C.,Guillermo Ochoa
43763,50585.09237,Producto E,Quesillos S.C.,Guillermo Ochoa
43763,894029.4789,Producto G,Quesillos S.C.,Guillermo Ochoa
43764,1186856.929,Producto G,Quesillos S.C.,Guillermo Ochoa
43766,93610.92964,Producto E,Quesillos S.C.,Guillermo Ochoa
43766,2232174.214,Producto G,Quesillos S.C.,Guillermo Ochoa
43767,53047.68608,Producto E,Quesillos S.C.,Guillermo Ochoa
43767,1620181.31,Producto G,Quesillos S.C.,Guillermo Ochoa
43768,89642.21226,Producto E,Quesillos S.C.,Guillermo Ochoa
43768,1694794.115,Producto G,Quesillos S.C.,Guillermo Ochoa
43769,29081.35628,Producto E,Quesillos S.C.,Guillermo Ochoa
43769,1074469.449,Producto G,Quesillos S.C.,Guillermo Ochoa
43770,42423.36697,Producto E,Quesillos S.C.,Guillermo Ochoa
43770,2408553.085,Producto G,Quesillos S.C.,Guillermo Ochoa
43771,739626.9012,Producto G,Quesillos S.C.,Guillermo Ochoa
43773,61756.17392,Producto E,Quesillos S.C.,Guillermo Ochoa
43773,1191382.654,Producto G,Quesillos S.C.,Guillermo Ochoa
43774,39373.62296,Producto E,Quesillos S.C.,Guillermo Ochoa
43774,1214798.842,Producto G,Quesillos S.C.,Guillermo Ochoa
43775,24400.33159,Producto E,Quesillos S.C.,Guillermo Ochoa
43775,2824637.374,Producto G,Quesillos S.C.,Guillermo Ochoa
43776,30668.80644,Producto E,Quesillos S.C.,Guillermo Ochoa
43776,3093176.091,Producto G,Quesillos S.C.,Guillermo Ochoa
43777,35943.17041,Producto E,Quesillos S.C.,Guillermo Ochoa
43777,3234964.578,Producto G,Quesillos S.C.,Guillermo Ochoa
43778,2528581.353,Producto G,Quesillos S.C.,Guillermo Ochoa
43780,21311.75481,Producto E,Quesillos S.C.,Guillermo Ochoa
43780,976069.1527,Producto G,Quesillos S.C.,Guillermo Ochoa
43781,32827.76205,Producto E,Quesillos S.C.,Guillermo Ochoa
43781,2644138.532,Producto G,Quesillos S.C.,Guillermo Ochoa
43782,27934.87585,Producto E,Quesillos S.C.,Guillermo Ochoa
43782,2175140.084,Producto G,Quesillos S.C.,Guillermo Ochoa
43783,44027.17604,Producto E,Quesillos S.C.,Guillermo Ochoa
43783,1870603.006,Producto G,Quesillos S.C.,Guillermo Ochoa
43784,34842.30835,Producto E,Quesillos S.C.,Guillermo Ochoa
43784,3474212.537,Producto G,Quesillos S.C.,Guillermo Ochoa
43785,2615164.548,Producto G,Quesillos S.C.,Guillermo Ochoa
43788,33402.47219,Producto E,Quesillos S.C.,Guillermo Ochoa
43788,827285.1293,Producto G,Quesillos S.C.,Guillermo Ochoa
43789,39986.95742,Producto E,Quesillos S.C.,Guillermo Ochoa
43789,3278847.809,Producto G,Quesillos S.C.,Guillermo Ochoa
43790,38534.38822,Producto E,Quesillos S.C.,Guillermo Ochoa
43790,2599358.095,Producto G,Quesillos S.C.,Guillermo Ochoa
43791,78138.21223,Producto E,Quesillos S.C.,Guillermo Ochoa
43791,3489140.83,Producto G,Quesillos S.C.,Guillermo Ochoa
43792,1409914.277,Producto G,Quesillos S.C.,Guillermo Ochoa
43794,28289.20052,Producto E,Quesillos S.C.,Guillermo Ochoa
43794,2087799.9,Producto G,Quesillos S.C.,Guillermo Ochoa
43795,53050.92728,Producto E,Quesillos S.C.,Guillermo Ochoa
43795,2297037.004,Producto G,Quesillos S.C.,Guillermo Ochoa
43796,25269.97253,Producto E,Quesillos S.C.,Guillermo Ochoa
43796,1787675.829,Producto G,Quesillos S.C.,Guillermo Ochoa
43797,28166.12651,Producto E,Quesillos S.C.,Guillermo Ochoa
43797,783900.4239,Producto G,Quesillos S.C.,Guillermo Ochoa
43798,46469.99818,Producto E,Quesillos S.C.,Guillermo Ochoa
43798,2893499.65,Producto G,Quesillos S.C.,Guillermo Ochoa
43799,1245813.177,Producto G,Quesillos S.C.,Guillermo Ochoa
43801,47758.02071,Producto E,Quesillos S.C.,Guillermo Ochoa
43801,1120307.677,Producto G,Quesillos S.C.,Guillermo Ochoa
43802,2147135.063,Producto G,Quesillos S.C.,Guillermo Ochoa
43803,13020.65208,Producto E,Quesillos S.C.,Guillermo Ochoa
43803,2480009.411,Producto G,Quesillos S.C.,Guillermo Ochoa
43804,4069.913259,Producto E,Quesillos S.C.,Guillermo Ochoa
43804,2799660.535,Producto G,Quesillos S.C.,Guillermo Ochoa
43805,37453.07884,Producto E,Quesillos S.C.,Guillermo Ochoa
43805,60539.02392,Producto H,Pescaditos SA de CV,Guillermo Ochoa
43805,1851239.837,Producto G,Quesillos S.C.,Guillermo Ochoa
43806,1564524.636,Producto G,Quesillos S.C.,Guillermo Ochoa
43808,17114.3797,Producto E,Quesillos S.C.,Guillermo Ochoa
43808,1643995.387,Producto G,Quesillos S.C.,Guillermo Ochoa
43809,43386.90432,Producto E,Quesillos S.C.,Guillermo Ochoa
43809,2261845.912,Producto G,Quesillos S.C.,Guillermo Ochoa
43810,23767.49512,Producto E,Quesillos S.C.,Guillermo Ochoa
43810,2066442.295,Producto G,Quesillos S.C.,Guillermo Ochoa
43811,1106527.813,Producto G,Quesillos S.C.,Guillermo Ochoa
43812,16787.23941,Producto E,Quesillos S.C.,Guillermo Ochoa
43812,2432655.714,Producto G,Quesillos S.C.,Guillermo Ochoa
43813,11759.7637,Producto E,Quesillos S.C.,Guillermo Ochoa
43813,891934.2646,Producto G,Quesillos S.C.,Guillermo Ochoa
43815,16089.38167,Producto E,Quesillos S.C.,Guillermo Ochoa
43815,588927.0789,Producto G,Quesillos S.C.,Guillermo Ochoa
43816,24111.4501,Producto E,Quesillos S.C.,Guillermo Ochoa
43816,1406920.281,Producto G,Quesillos S.C.,Guillermo Ochoa
43817,29465.89273,Producto E,Quesillos S.C.,Guillermo Ochoa
43817,1586119.115,Producto G,Quesillos S.C.,Guillermo Ochoa
43818,15460.8961,Producto E,Quesillos S.C.,Guillermo Ochoa
43818,1570495.642,Producto G,Quesillos S.C.,Guillermo Ochoa
43819,10500.78028,Producto E,Quesillos S.C.,Guillermo Ochoa
43819,2202273.582,Producto G,Quesillos S.C.,Guillermo Ochoa
43820,1616096.281,Producto G,Quesillos S.C.,Guillermo Ochoa
43822,797420.393,Producto G,Quesillos S.C.,Guillermo Ochoa
43825,865753.1221,Producto G,Quesillos S.C.,Guillermo Ochoa
43826,37332.30569,Producto E,Quesillos S.C.,Guillermo Ochoa
43826,1257410.051,Producto G,Quesillos S.C.,Guillermo Ochoa
43827,862664.0132,Producto G,Quesillos S.C.,Guillermo Ochoa
43829,2204478.316,Producto G,Quesillos S.C.,Guillermo Ochoa
43832,39006.14479,Producto E,Quesillos S.C.,Guillermo Ochoa
43832,1285656.573,Producto G,Quesillos S.C.,Guillermo Ochoa
43833,16489.86544,Producto E,Quesillos S.C.,Guillermo Ochoa
43833,3701095.089,Producto G,Quesillos S.C.,Guillermo Ochoa
43834,1350420.449,Producto G,Quesillos S.C.,Guillermo Ochoa
43836,1706557.778,Producto G,Quesillos S.C.,Guillermo Ochoa
43837,10777.25344,Producto E,Quesillos S.C.,Guillermo Ochoa
43837,1493711.431,Producto G,Quesillos S.C.,Guillermo Ochoa
43838,9526.392366,Producto E,Quesillos S.C.,Guillermo Ochoa
43838,2278253.672,Producto G,Quesillos S.C.,Guillermo Ochoa
43839,16127.87455,Producto E,Quesillos S.C.,Guillermo Ochoa
43839,3216038.49,Producto G,Quesillos S.C.,Guillermo Ochoa
43840,28267.72944,Producto E,Quesillos S.C.,Guillermo Ochoa
43840,4332530.141,Producto G,Quesillos S.C.,Guillermo Ochoa
43841,1000445.356,Producto G,Quesillos S.C.,Guillermo Ochoa
43843,45916.37422,Producto E,Quesillos S.C.,Guillermo Ochoa
43843,1567532.954,Producto G,Quesillos S.C.,Guillermo Ochoa
43844,19902.10792,Producto E,Quesillos S.C.,Guillermo Ochoa
43844,2029801.282,Producto G,Quesillos S.C.,Guillermo Ochoa
43845,15197.09949,Producto E,Quesillos S.C.,Guillermo Ochoa
43845,1294808.184,Producto G,Quesillos S.C.,Guillermo Ochoa
43846,51870.1057,Producto E,Quesillos S.C.,Guillermo Ochoa
43846,2759794.126,Producto G,Quesillos S.C.,Guillermo Ochoa
43847,33482.06811,Producto E,Quesillos S.C.,Guillermo Ochoa
43847,2171695.334,Producto G,Quesillos S.C.,Guillermo Ochoa
43848,2280863.973,Producto G,Quesillos S.C.,Guillermo Ochoa
43850,17486.86905,Producto E,Quesillos S.C.,Guillermo Ochoa
43850,1835780.354,Producto G,Quesillos S.C.,Guillermo Ochoa
43851,27965.8691,Producto E,Quesillos S.C.,Guillermo Ochoa
43851,2189837.302,Producto G,Quesillos S.C.,Guillermo Ochoa
43852,27390.51174,Producto E,Quesillos S.C.,Guillermo Ochoa
43852,2154014.28,Producto G,Quesillos S.C.,Guillermo Ochoa
43853,7647.73692,Producto E,Quesillos S.C.,Guillermo Ochoa
43853,3342639.686,Producto G,Quesillos S.C.,Guillermo Ochoa
43854,50550.73981,Producto E,Quesillos S.C.,Guillermo Ochoa
43854,2198253.591,Producto G,Quesillos S.C.,Guillermo Ochoa
43855,1017180.482,Producto G,Quesillos S.C.,Guillermo Ochoa
43857,52976.76491,Producto E,Quesillos S.C.,Guillermo Ochoa
43857,2191853.738,Producto G,Quesillos S.C.,Guillermo Ochoa
43858,46095.24658,Producto E,Quesillos S.C.,Guillermo Ochoa
43858,2640858.879,Producto G,Quesillos S.C.,Guillermo Ochoa
43859,66259.234,Producto E,Quesillos S.C.,Guillermo Ochoa
43859,2694982.156,Producto G,Quesillos S.C.,Guillermo Ochoa
43860,1790149.111,Producto G,Quesillos S.C.,Guillermo Ochoa
43861,60140.54556,Producto E,Quesillos S.C.,Guillermo Ochoa
43861,2942216.944,Producto G,Quesillos S.C.,Guillermo Ochoa
43587,43046.15158,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez
43587,166757.5958,Producto F,Arbolitos Unidos de México S.A. de C.V.,Raul Jimenez
43587,389456.0828,Producto H,Pescaditos SA de CV,Raul Jimenez
43588,762957.4398,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez
43588,776754.4481,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez
43588,1690132.937,Producto H,Pescaditos SA de CV,Raul Jimenez
